"Read message","Czytaj wiadomość"
"Order Notes (%1)","Noty do zamówienia (%1)"
"Order Notes","Notatki do zamówień"
"Your Note","Twoja notatka"
"Order Note","Notatka zamówienia"
Items,Pozycje
"Added: %1","Dodano: %1"
Edit, Edytuj
"Show To Customer","Pokaż klientowi"
"Notify Customer by Email","Powiadom klienta pocztą elektroniczną"
Delete, Skreślić
"New Note","Nowa Nota"
"Email Note To Customer","E-mail nota do klienta"
"Save Changes","Zapisz zmiany"
"Submit","Zgłoś się"
"List is empty","Lista jest pusta"
"[Order Notes] Customer added new note to order","[Uwagi do zamówienia] Klient dodał nową uwagę do zamówienia"
"has added new note to order","dodała nową uwagę do zamówienia"
"New note has been added to your order","Dodano nową uwagę do zamówienia"
"New note has been added to your to order","Nowa notatka została dodana do Twojego zamówienia"
"You may view note or reply at order view page in your account","Możesz zobaczyć notatkę lub odpowiedź na stronie widoku zamówienia na swoim koncie"
"Do you want to mark this note as read?","Czy chcesz zaznaczyć tę uwagę jako przeczytaną?"
"Yes","Tak"
"No message","Nie ma wiadomości!"
"There is no new message","Nie ma nowej wiadomości".
"New Message","Nowa wiadomość"
"Mark as read","Oznacz jak czytać"
"You marked this note as read.","Zaznaczyłeś tę uwagę jako przeczytaną."
"Something went wrong while saving the note.","Coś poszło nie tak, zapisując notatkę."
"Notify Customer by Email","Powiadom klienta pocztą elektroniczną"
"Visible on Storefront","Widoczne na stronie Accaunt klienta"
"Show More Notes","Pokaż więcej uwag"
"Show Less Notes","Pokaż mniej Uwagi"
"Add Note","Dodaj uwagę"
"Leave a Note","Pozostawić notatkę"
